"linear_acceleration.y_x","linear_acceleration.y_y","linear_acceleration.x_x","linear_acceleration.x_y","linear_acceleration.z_x","linear_acceleration.z_y"
7475.76819,0.12748645,7475.76819,0.18632635,7475.76819,9.80665,
7535.604782,0.16671305,7535.604782,0.196133,7535.604782,9.77723005,
7595.463249,0.12748645,7595.463249,0.18632635,7595.463249,9.81645665,
7655.27973,0.12748645,7655.27973,0.1765197,7655.27973,9.80665,
7715.023679,0.10787315,7715.023679,0.18632635,7715.023679,9.79684335,
7774.715475,0.12748645,7774.715475,0.196133,7774.715475,9.79684335,
7834.612078,0.1372931,7834.612078,0.1765197,7834.612078,9.7870367,
7894.410044,0.1372931,7894.410044,0.20593965,7894.410044,9.8262633,
7954.207821,0.1372931,7954.207821,0.18632635,7954.207821,9.80665,
8014.06551,0.0980665,8014.06551,0.1765197,8014.06551,9.79684335,
8073.761908,0.1176798,8073.761908,0.1765197,8073.761908,9.79684335,
8133.558476,0.16671305,8133.558476,0.18632635,8133.558476,9.7870367,
8193.459572,0.1176798,8193.459572,0.196133,8193.459572,9.79684335,
8253.314085,0.12748645,8253.314085,0.18632635,8253.314085,9.80665,
8313.092238,0.1176798,8313.092238,0.18632635,8313.092238,9.7870367,
8372.819133,0.16671305,8372.819133,0.20593965,8372.819133,9.79684335,
8432.62608,0.12748645,8432.62608,0.1765197,8432.62608,9.80665,
8492.425121,0.14709975,8492.425121,0.18632635,8492.425121,9.80665,
8552.128429,0.12748645,8552.128429,0.18632635,8552.128429,9.79684335,
8611.918137,0.12748645,8611.918137,0.1765197,8611.918137,9.80665,
8671.817214,0.1569064,8671.817214,0.1765197,8671.817214,9.80665,
8731.538287,0.12748645,8731.538287,0.20593965,8731.538287,9.80665,
8791.371227,0.1176798,8791.371227,0.196133,8791.371227,9.81645665,
8851.080754,0.1176798,8851.080754,0.1765197,8851.080754,9.79684335,
8910.945645,0.12748645,8910.945645,0.1765197,8910.945645,9.80665,
8970.743149,0.1372931,8970.743149,0.196133,8970.743149,9.80665,
9030.483495,0.14709975,9030.483495,0.20593965,9030.483495,9.80665,
9090.317696,0.1372931,9090.317696,0.196133,9090.317696,9.80665,
9149.994178,0.1372931,9149.994178,0.18632635,9149.994178,9.7870367,
9209.812451,0.1176798,9209.812451,0.18632635,9209.812451,9.7870367,
9269.728893,0.0980665,9269.728893,0.18632635,9269.728893,9.80665,
9329.486133,0.10787315,9329.486133,0.196133,9329.486133,9.79684335,
9389.390275,0.12748645,9389.390275,0.196133,9389.390275,9.80665,
9449.181766,0.1765197,9449.181766,0.20593965,9449.181766,9.80665,
9508.899083,0.1176798,9508.899083,0.18632635,9508.899083,9.79684335,
9568.716953,0.1372931,9568.716953,0.20593965,9568.716953,9.79684335,
9628.45342,0.0980665,9628.45342,0.196133,9628.45342,9.79684335,
9688.217455,0.1372931,9688.217455,0.20593965,9688.217455,9.81645665,
9748.027293,0.14709975,9748.027293,0.18632635,9748.027293,9.80665,
9807.94784,0.1372931,9807.94784,0.18632635,9807.94784,9.80665,
9867.72204,0.14709975,9867.72204,0.1765197,9867.72204,9.80665,
9927.540129,0.12748645,9927.540129,0.18632635,9927.540129,9.80665,
9987.256677,0.1372931,9987.256677,0.20593965,9987.256677,9.79684335,
10046.97896,0.1176798,10046.97896,0.18632635,10046.97896,9.79684335,
10106.75247,0.10787315,10106.75247,0.18632635,10106.75247,9.80665,
10166.46701,0.1569064,10166.46701,0.18632635,10166.46701,9.79684335,
10226.33427,0.14709975,10226.33427,0.1765197,10226.33427,9.79684335,
10286.22435,0.14709975,10286.22435,0.18632635,10286.22435,9.7870367,
10346.08172,0.12748645,10346.08172,0.196133,10346.08172,9.79684335,
10405.7674,0.1569064,10405.7674,0.18632635,10405.7674,9.80665,
10465.67693,0.14709975,10465.67693,0.18632635,10465.67693,9.79684335,
10525.59771,0.1176798,10525.59771,0.18632635,10525.59771,9.81645665,
10585.45396,0.18632635,10585.45396,0.18632635,10585.45396,9.79684335,
10645.34905,0.1372931,10645.34905,0.196133,10645.34905,9.7870367,
10705.18702,0.12748645,10705.18702,0.1765197,10705.18702,9.80665,
10765.0864,0.12748645,10765.0864,0.18632635,10765.0864,9.81645665,
10824.86144,0.16671305,10824.86144,0.1765197,10824.86144,9.79684335,
10884.63929,0.14709975,10884.63929,0.18632635,10884.63929,9.80665,
10944.47579,0.1372931,10944.47579,0.20593965,10944.47579,9.81645665,
11004.21353,0.1372931,11004.21353,0.196133,11004.21353,9.8262633,
11063.91171,0.1765197,11063.91171,0.18632635,11063.91171,9.79684335,
11123.81892,0.12748645,11123.81892,0.1765197,11123.81892,9.80665,
11183.62067,0.12748645,11183.62067,0.196133,11183.62067,9.80665,
11243.3625,0.1372931,11243.3625,0.1765197,11243.3625,9.7870367,
11303.26579,0.18632635,11303.26579,0.196133,11303.26579,9.79684335,
11362.97732,0.1569064,11362.97732,0.16671305,11362.97732,9.7870367,
11422.69536,0.14709975,11422.69536,0.18632635,11422.69536,9.79684335,
11482.43233,0.12748645,11482.43233,0.1765197,11482.43233,9.79684335,
11542.30905,0.1372931,11542.30905,0.196133,11542.30905,9.77723005,
11602.12684,0.0980665,11602.12684,0.196133,11602.12684,9.80665,
11662.0282,0.08825985,11662.0282,0.18632635,11662.0282,9.79684335,
11721.7422,0.14709975,11721.7422,0.196133,11721.7422,9.79684335,
11781.43886,0.1372931,11781.43886,0.18632635,11781.43886,9.79684335,
11841.19562,0.12748645,11841.19562,0.16671305,11841.19562,9.79684335,
11901.01406,0.1372931,11901.01406,0.18632635,11901.01406,9.81645665,
